shitTime,Temperature,Humidity,Scored Probabilities
2021-04-06T19:33:23.7600000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:33:43.9180000Z,24.8,20,9.9028206022922E-05
2021-04-06T19:34:04.0750000Z,24.8,20,9.9028206022922E-05
2021-04-06T19:34:24.2350000Z,24.8,20,9.9028206022922E-05
2021-04-06T19:34:44.3940000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:35:04.5230000Z,24.8,20,9.9028206022922E-05
2021-04-06T19:35:24.6810000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:35:44.8400000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:36:04.9990000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:36:25.1430000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:36:45.4940000Z,24.8,20,9.9028206022922E-05
2021-04-06T19:37:05.6540000Z,24.8,20,9.9028206022922E-05
2021-04-06T19:37:25.8000000Z,24.8,20,9.9028206022922E-05
2021-04-06T19:37:45.9580000Z,24.8,20,9.9028206022922E-05
2021-04-06T19:38:06.1020000Z,24.8,20,9.9028206022922E-05
2021-04-06T19:38:26.2630000Z,24.8,20,9.9028206022922E-05
2021-04-06T19:38:46.4200000Z,24.8,20,9.9028206022922E-05
2021-04-06T19:39:06.5660000Z,24.8,20,9.9028206022922E-05
2021-04-06T19:39:26.7120000Z,24.8,21,9.9028206022922E-05
2021-04-06T19:39:47.0740000Z,24.8,22,9.9028206022922E-05
2021-04-06T19:40:07.3200000Z,24.9,22,9.9028206022922E-05
2021-04-06T19:40:27.4820000Z,24.8,21,9.9028206022922E-05
2021-04-06T19:40:47.6280000Z,24.8,21,9.9028206022922E-05
2021-04-06T19:41:07.7890000Z,24.8,21,9.9028206022922E-05
2021-04-06T19:41:28.1370000Z,24.8,21,9.9028206022922E-05
2021-04-06T19:41:48.2940000Z,24.8,22,9.9028206022922E-05
2021-04-06T19:42:08.6420000Z,24.8,22,9.9028206022922E-05
2021-04-06T21:10:39.8790000Z,25.4,31,9.9028206022922E-05
2021-04-06T21:11:00.1040000Z,25.4,32,9.9028206022922E-05
2021-04-06T21:11:20.2630000Z,25.4,31,9.9028206022922E-05
2021-04-06T21:11:40.4120000Z,25.4,29,9.9028206022922E-05
